f_hip,f_hd,f_2mass,Fe,C,O,Mg,Si,Ca,Ti,Li,N,F,Na,Al,P,K,Co,Ni,Cu,Zn,Be,S,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_name,f_p,f_m_p,f_e,f_a,
96379 ,184700 ,19354488-0014251 ,-0.13 ,,,0.13 ,-0.02 ,0.06 ,0.08 ,,,,-0.1 ,0.07 ,,,0.07 ,-0.13 ,-0.43 ,-0.11 ,,-0.16 ,293.9369960 ,-0.2404366 ,14.514 ,-72.314 ,-18.083 ,75.94 ,thick ,G3V ,8.83 ,0.663 ,52.10 ,-109.30 ,-24.70 ,,,,,,,,,
96395 ,185414 ,19355560+5659022 ,3.46945e-17 ,-0.05 ,-0.13 ,0.06 ,-0.06 ,0.01 ,-0.03 ,-1.15 ,-0.25 ,,-0.18 ,-0.11 ,,,-1.38778e-16 ,-0.08 ,-0.28 ,-0.145 ,,0.01 ,293.9817230 ,56.9839000 ,5.256 ,-21.219 ,10.164 ,24.11 ,thin ,G0 ,6.74 ,0.636 ,20.70 ,-13.10 ,-13.70 ,5808.2 ,4.36 ,,,,,,,
30860 ,45350 ,06284571+3857469 ,0.33 ,0.25 ,0.19 ,0.35 ,0.281 ,0.284 ,0.31 ,,0.13 ,,0.196 ,0.311 ,,,0.384 ,0.29 ,0.14 ,0.07 ,,0.39 ,97.1904630 ,38.9629619 ,-13.868 ,2.795 ,44.632 ,46.82 ,thin ,K0III ,7.88 ,0.740 ,16.60 ,-8.50 ,-18.30 ,5574.0 ,4.21 ,,b ,963.6 ,1.79 ,0.778 ,1.92 ,
30862 ,45391 ,06284607+3628483 ,-0.46 ,,,,-0.38 ,,-0.35 ,,,,-0.37 ,,,,,-0.48 ,,,,,97.1918041 ,36.4799904 ,-8.277 ,1.657 ,-23.005 ,24.50 ,thin ,G1V ,7.16 ,0.613 ,-3.40 ,-8.30 ,-41.90 ,5699.0 ,4.47 ,,,,,,,
96402 ,184768 ,19360065+0005285 ,-0.03 ,0.02 ,-9.29812e-16 ,0.14 ,0.06 ,2.498e-16 ,0.06 ,-2.64 ,-0.15 ,,-0.091 ,0.135 ,,,0.14 ,-0.01 ,0.01 ,0.045 ,,-0.1 ,294.0027177 ,0.0911861 ,10.329 ,-38.241 ,3.622 ,39.78 ,thin ,G5V ,7.57 ,0.675 ,24.80 ,-61.40 ,-27.90 ,5677.7 ,4.19 ,,,,,,,
63636 ,113319 ,13023348+3225596 ,0.095 ,,,,-0.079 ,0.022 ,-0.034 ,-1.02 ,,,-0.199 ,,,,,-0.096 ,,,,,195.6394103 ,32.4332526 ,10.878 ,12.653 ,27.005 ,31.74 ,thin ,G4V ,7.52 ,0.655 ,-27.50 ,-9.80 ,7.00 ,5793.0 ,4.52 ,,,,,,,
63656 ,113255 ,13024707-2826224 ,0.18 ,0.06 ,0.12 ,0.1 ,0.14 ,0.09 ,0.15 ,,,,0.05 ,0.12 ,,,0.22 ,0.2 ,0.19 ,,,0.04 ,195.6962124 ,-28.4395813 ,-56.504 ,-73.816 ,15.503 ,94.24 ,N/A ,G3V ,8.99 ,0.700 ,9999.00 ,9999.00 ,9999.00 ,,,,,,,,,
96425 ,181983 ,19361540-8114496 ,0.17 ,,0.18 ,0.28 ,0.19 ,0.09 ,0.2 ,,,,0.1 ,0.18 ,,,0.22 ,0.19 ,,0.07 ,,,294.0640030 ,-81.2471340 ,13.099 ,-38.863 ,19.021 ,45.21 ,thin ,G8IV/V ,8.47 ,0.774 ,13.80 ,15.00 ,-25.20 ,5401.5 ,4.42 ,,,,,,,
96428 ,184944 ,19361568+1423280 ,0.115 ,0.015 ,0.04 ,0.22 ,0.28 ,0.13 ,0.085 ,-2.875 ,0.36 ,,0.3 ,0.23 ,,,0.205 ,0.115 ,0.16 ,1.21 ,,0.91 ,294.0653600 ,14.3910710 ,-9.589 ,28.324 ,115.231 ,119.05 ,thin ,K0II-III ,6.36 ,1.045 ,-15.40 ,-45.30 ,-15.70 ,4849.0 ,2.57 ,,,,,,,
96441 ,185395 ,19362654+5013155 ,,-0.1 ,,,0.02 ,0.13 ,-0.02 ,,,,-0.01 ,-0.18 ,,,-0.06 ,-0.07 ,,-0.37 ,,-0.31 ,294.1105550 ,50.2211001 ,6.683 ,-17.147 ,-0.817 ,18.42 ,thin ,F3+V ,4.48 ,0.395 ,-23.50 ,-25.90 ,4.00 ,6642.2 ,4.27 ,,,,,,,
96459 ,185351 ,19363801+4441418 ,0.04 ,-0.06 ,-0.07 ,0.07 ,0.14 ,0.09 ,-0.01 ,-2.44 ,0.215 ,,0.185 ,0.08 ,,-0.22 ,0.1 ,0.05 ,-0.12 ,0.12 ,,0.54 ,294.1582346 ,44.6949333 ,12.689 ,-28.466 ,26.931 ,41.19 ,thin ,G8.5IIIbFe-0.5 ,5.18 ,0.928 ,24.20 ,-12.70 ,5.80 ,5008.3 ,3.29 ,,,,,,,
96471 ,184860 ,,3.46945e-17 ,,,,0.01 ,,0.01 ,,,,0.06 ,,,,,-0.05 ,,,,,294.1902200 ,-10.4434940 ,-6.380 ,13.165 ,23.750 ,27.89 ,thin ,K2/3V ,8.40 ,1.011 ,81.70 ,-13.50 ,-1.40 ,4916.0 ,4.54 ,,,,,,,
30939 ,45759 ,06293689+0829327 ,0.16 ,,,0.36 ,0.15 ,0.21 ,0.32 ,,,,0.24 ,0.2 ,,,0.42 ,0.13 ,-0.37 ,0.18 ,,0.17 ,97.4036854 ,8.4924354 ,29.093 ,0.416 ,39.206 ,48.82 ,thin ,F8 ,7.61 ,0.568 ,-40.00 ,-18.20 ,-5.50 ,6137.5 ,,,,,,,,
21543 ,29310 ,04373196+1508473 ,0.12 ,0.18 ,0.01 ,0.18 ,0.15 ,0.17 ,0.135 ,-0.7 ,,,0.14 ,0.09 ,,,0.175 ,0.075 ,-0.17 ,-0.06 ,,0.085 ,69.3832950 ,15.1464370 ,-34.672 ,-9.531 ,22.620 ,42.48 ,thin ,G1V ,7.56 ,0.597 ,-40.90 ,-18.10 ,-1.70 ,5796.7 ,4.23 ,,,,,,,
96507 ,185269 ,19371174+2829597 ,0.18 ,0.13 ,0.29 ,0.2 ,0.2 ,0.215 ,0.2 ,-0.79 ,0.12 ,,0.21 ,0.166 ,,,0.17 ,0.18 ,0.1 ,0.165 ,,0.16 ,294.2989200 ,28.4998630 ,-26.030 ,41.518 ,-11.243 ,50.28 ,thin ,G2V ,6.68 ,0.606 ,18.70 ,-8.60 ,-2.70 ,6048.5 ,4.03 ,,b ,6.83785 ,1.09 ,0.3 ,0.08 ,
63742 ,113449 ,13034967-0509423 ,-0.05 ,0.97 ,-0.07 ,-0.15 ,-0.085 ,-0.055 ,0.015 ,,,,-0.195 ,-0.015 ,,,-0.18 ,-0.105 ,-0.17 ,0.18 ,,,195.9568905 ,-5.1618299 ,3.397 ,8.203 ,18.406 ,20.43 ,thin ,K1V(k) ,7.68 ,0.847 ,-8.70 ,-23.50 ,-19.10 ,5274.7 ,4.59 ,,,,,,,
