f_hip,f_hd,f_2mass,Fe,C,O,Mg,Si,Ca,Ti,Li,N,F,Na,Al,P,K,Co,Ni,Cu,Zn,Be,S,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_name,f_p,f_m_p,f_e,f_a,
9316 ,12333 ,01594106-4836497 ,0.14 ,,0.01 ,0.24 ,0.11 ,0.16 ,0.12 ,,,,0.16 ,0.17 ,,,0.24 ,0.14 ,,0.32 ,,,29.9211120 ,-48.6138080 ,-0.441 ,5.795 ,71.707 ,71.94 ,thin ,G5/6IV ,7.92 ,0.728 ,-53.70 ,-63.40 ,-5.60 ,5578.5 ,3.88 ,,,,,,,
74856 ,135625 ,15174841-4555207 ,0.145 ,0.185 ,0.07 ,0.1735 ,0.1655 ,0.1615 ,0.1685 ,-0.77 ,,,0.19 ,0.12 ,,,0.1695 ,0.1945 ,0.065 ,-0.01 ,,-0.01 ,229.4516999 ,-45.9224153 ,20.239 ,2.347 ,-52.636 ,56.44 ,thin ,G3IV/V ,7.71 ,0.617 ,-27.90 ,-15.20 ,0.40 ,6114.0 ,4.32 ,,,,,,,
42098 ,72892 ,08345257-1427240 ,0.195 ,0.145 ,0.1 ,0.26 ,0.175 ,0.14 ,0.18 ,,,,0.15 ,0.195 ,,,0.215 ,0.21 ,0.245 ,0.13 ,,0.13 ,128.7191453 ,-14.4566974 ,21.786 ,-1.882 ,-66.091 ,69.61 ,N/A ,G5V ,8.83 ,0.686 ,9999.00 ,9999.00 ,9999.00 ,,,,b ,39.475 ,5.45 ,0.423 ,0.228 ,
42112 ,72780 ,08350420+1117012 ,0.19 ,,,,0.14 ,,0.21 ,,,,0.09 ,,,,,0.14 ,,,,,128.7675080 ,11.2837210 ,-15.033 ,0.568 ,-50.756 ,52.94 ,thin ,F8 ,7.47 ,0.513 ,-23.20 ,-23.90 ,-1.10 ,6256.7 ,4.37 ,,,,,,,
107649 ,207129 ,21481574-4718129 ,0.01 ,-0.0375 ,-0.065 ,0.0515 ,0.01 ,0.06 ,0.04 ,-0.94 ,,,-0.03 ,-0.025 ,-0.08 ,,-0.01 ,-0.035 ,-0.2 ,-0.17 ,,-0.05 ,327.0656295 ,-47.3036167 ,-14.422 ,-5.101 ,2.779 ,15.55 ,thin ,G2V ,5.58 ,0.601 ,-13.50 ,-22.70 ,0.20 ,5921.4 ,4.41 ,,,,,,,
9349 ,12264 ,02000533-1332459 ,0.034 ,-0.03 ,-0.06 ,0.018 ,-0.043 ,0.025 ,-0.004 ,-1.25 ,,,-0.09 ,-0.039 ,,,0.0085 ,-0.08 ,-0.144 ,-0.129 ,,-0.023 ,30.0222421 ,-13.5461111 ,4.006 ,-22.381 ,-33.881 ,40.80 ,thin ,G5V ,7.98 ,0.660 ,-11.60 ,-9.10 ,-16.40 ,5816.6 ,4.45 ,,,,,,,
9353 ,12235 ,02000916+0305490 ,0.32 ,0.28 ,0.24 ,0.41 ,0.31 ,0.335 ,0.33 ,-2.33 ,0.41 ,,0.44 ,0.31 ,,,0.48 ,0.38 ,0.27 ,0.11 ,,0.265 ,30.0381645 ,3.0970147 ,-6.082 ,31.118 ,1.414 ,31.74 ,thin ,G0V ,5.90 ,0.610 ,1.10 ,-57.40 ,4.90 ,6071.4 ,4.26 ,,,,,,,
74890 ,135760 ,15181734-4125139 ,0.28 ,,,0.39 ,0.38 ,0.3 ,0.48 ,,,,0.54 ,0.46 ,,,0.66 ,0.37 ,,,,,229.5721950 ,-41.4205710 ,74.415 ,17.890 ,50.129 ,91.49 ,N/A ,K1III ,7.03 ,1.050 ,9999.00 ,9999.00 ,9999.00 ,4879.5 ,3.27 ,,b ,822.3 ,2.4 ,0.07 ,2.1 ,
42123 ,73121 ,08351253-3958136 ,0.1 ,0.2 ,0.06 ,0.1435 ,0.1 ,0.158 ,0.142 ,-1.75 ,,,0.12 ,0.087 ,,,0.1345 ,0.1 ,-0.008 ,-0.08 ,,-0.058 ,128.8022391 ,-39.9704502 ,23.296 ,-0.071 ,-27.628 ,36.14 ,thin ,F9.5V ,6.45 ,0.578 ,-4.70 ,-33.90 ,14.90 ,6048.6 ,4.21 ,,,,,,,
9362 ,12431 ,02001690-5500461 ,-0.02 ,,,0.05 ,0.07 ,0.09 ,0.07 ,,,,0.1 ,0.07 ,,,0.08 ,-0.03 ,,,,,30.0704232 ,-55.0127933 ,1.153 ,-5.032 ,147.764 ,147.85 ,N/A ,K0II/IIICNIV ,6.51 ,0.970 ,9999.00 ,9999.00 ,9999.00 ,5010.0 ,2.83 ,,,,,,,
9367 ,12137 ,02002146+4406097 ,0.13 ,-0.18 ,-0.16 ,-0.01 ,-0.1 ,0.1 ,0.03 ,,0.12 ,,-0.11 ,-0.09 ,,,,0.12 ,,,,,30.0894650 ,44.1027070 ,32.944 ,-132.136 ,16.477 ,137.17 ,thin ,G5 ,7.66 ,0.965 ,-6.70 ,-25.80 ,0.80 ,,,,,,,,,
9381 ,12387 ,02003210-4043523 ,-0.23 ,0.025 ,0.05 ,-0.0015 ,-0.087 ,-0.12 ,0.005 ,,,,-0.12 ,-0.01 ,,,-0.0815 ,-0.18 ,-0.21 ,-0.17 ,,-0.09 ,30.1338556 ,-40.7312479 ,-9.962 ,33.538 ,-3.845 ,35.20 ,thick ,G5VFe-0.8CH-0.7 ,7.36 ,0.653 ,-3.10 ,-88.10 ,58.50 ,5701.4 ,4.44 ,,,,,,,
74933 ,136231 ,15184307+2546177 ,-0.28 ,,-0.05 ,-0.14 ,-0.26 ,-0.16 ,-0.12 ,-1.21 ,,,-0.36 ,-0.12 ,,,0.02 ,-0.35 ,,-0.26 ,,-0.23 ,229.6795030 ,25.7715755 ,-61.798 ,-22.086 ,48.742 ,81.75 ,thin ,G0V ,8.62 ,0.569 ,1.70 ,-49.30 ,36.90 ,5809.7 ,4.20 ,,,,,,,
9398 ,,,-0.395 ,-0.6 ,,-0.217 ,-0.553 ,-0.048 ,0.239 ,,,,0.02 ,0.115 ,,,-0.166 ,-0.38 ,,,,,30.1980707 ,-45.8421521 ,-4.095 ,11.116 ,-39.834 ,41.56 ,N/A ,K5.5V ,11.70 ,1.173 ,9999.00 ,9999.00 ,9999.00 ,4734.0 ,4.49 ,,,,,,,
9400 ,13060 ,02004721-8031578 ,0.06 ,0.02 ,-0.15 ,0.11 ,0.07 ,0.1075 ,0.2 ,,,,0.055 ,0.15 ,,,0.14 ,0.065 ,0.04 ,-0.195 ,,0.25 ,30.1967133 ,-80.5327129 ,6.225 ,-16.970 ,40.248 ,44.12 ,thin ,K1V ,8.93 ,0.797 ,37.90 ,-22.30 ,0.10 ,5251.2 ,4.33 ,,,,,,,
42172 ,72945 ,08355096+0637126 ,0.1 ,0.15 ,0.03 ,0.14 ,0.05 ,0.12 ,0.1 ,-0.175 ,0.23 ,,0.02 ,0.035 ,,-0.07 ,0.16 ,0.05 ,-0.16 ,-0.08 ,,0.015 ,128.9624057 ,6.6202169 ,-24.462 ,-3.875 ,8.678 ,26.24 ,thin ,F8V ,5.92 ,0.530 ,-21.20 ,-26.10 ,-6.60 ,6206.3 ,4.52 ,,,,,,,
42173 ,72946 ,08355126+0637218 ,0.2 ,0.03 ,-0.01 ,0.26 ,0.11 ,0.21 ,0.21 ,-2.05 ,,,0.09 ,0.22 ,,,0.26 ,0.15 ,0.04 ,-0.065 ,,0.145 ,128.9636120 ,6.6227810 ,-24.432 ,-3.901 ,8.741 ,26.24 ,thin ,G1V ,7.08 ,0.710 ,-22.90 ,-28.20 ,-6.60 ,5765.2 ,4.57 ,,,,,,,
9406 ,12328 ,02004944-0828182 ,0.06 ,,,,-0.07 ,,0.05 ,,,,-0.08 ,,,,,0.06 ,,,,,30.2060834 ,-8.4717211 ,-11.097 ,29.397 ,-44.225 ,54.25 ,thin ,K0IV ,6.92 ,0.960 ,-27.00 ,-21.70 ,-38.00 ,4934.5 ,3.54 ,,,,,,,
74948 ,136118 ,15185546-0135325 ,0.017 ,0.089 ,0.12 ,0.095 ,-0.025 ,0.0295 ,0.034 ,-0.88 ,,,-0.052 ,-0.0035 ,,,0.0835 ,-0.08 ,-0.27 ,-0.23 ,,-0.2 ,229.7311360 ,-1.5923860 ,0.928 ,0.387 ,-46.566 ,46.58 ,thin ,F7V ,6.94 ,0.553 ,-18.70 ,-14.10 ,14.90 ,6176.4 ,4.24 ,,,,,,,
9414 ,12951 ,02005716-7852130 ,-0.12 ,-0.09 ,,-0.06 ,-0.07 ,-0.14 ,-0.09 ,,,,-0.18 ,-0.17 ,,,-0.19 ,-0.11 ,-0.26 ,,,-0.22 ,30.2379333 ,-78.8703072 ,-16.796 ,40.538 ,15.054 ,46.39 ,thin ,F8/G0V ,6.84 ,0.576 ,-0.90 ,-42.90 ,-1.70 ,6122.0 ,,,,,,,,
74954 ,136274 ,15185904+2541301 ,-0.22 ,-0.07 ,0.1 ,-0.03 ,-0.075 ,-0.1 ,-0.05 ,,-0.18 ,,-0.165 ,-0.04 ,,,-0.17 ,-0.19 ,-0.16 ,-0.22 ,,,229.7460560 ,25.6917170 ,-26.208 ,-11.385 ,17.874 ,33.70 ,thick ,G8.V ,7.96 ,0.737 ,-45.30 ,-82.70 ,20.10 ,5356.0 ,4.50 ,,,,,,,
74961 ,136418 ,,-0.07 ,-1.22125e-15 ,-0.03 ,0.06 ,0.04 ,-0.04 ,0.015 ,,,,,0.05 ,,,-0.05 ,-0.05 ,,-0.06 ,,0.22 ,229.7757595 ,41.7332063 ,59.568 ,28.007 ,-81.682 ,104.90 ,thin ,G5 ,7.88 ,0.930 ,58.10 ,-69.70 ,-12.40 ,4989.0 ,3.46 ,,b ,464.29999 ,2.14 ,0.25 ,1.29 ,
42202 ,73267 ,08361779-3427358 ,0.1 ,0.15 ,0.12 ,0.2365 ,0.102 ,0.1475 ,0.2305 ,,,,0.1175 ,0.22 ,,,0.1745 ,0.104 ,0.195 ,0.025 ,,0.24 ,129.0740671 ,-34.4599776 ,48.310 ,13.306 ,-4.903 ,50.35 ,thin ,K0V ,8.87 ,0.806 ,-53.80 ,-39.50 ,0.40 ,5387.3 ,4.37 ,,b ,1260.0 ,3.06 ,0.256 ,2.198 ,
74975 ,136202 ,15191881+0145553 ,0.02 ,0.04 ,0.065 ,0.1 ,0.06 ,0.14 ,0.06 ,-2.91 ,0.13 ,,0.07 ,0.015 ,,,0.14 ,0.01 ,-0.21 ,-0.12 ,,0.04 ,229.8283270 ,1.7654050 ,4.326 ,2.319 ,24.902 ,25.38 ,thin ,F8IV ,5.10 ,0.540 ,92.10 ,-13.80 ,-11.60 ,6114.8 ,3.94 ,,,,,,,
9440 ,12438 ,,-0.555 ,-0.625 ,-0.33 ,-0.31 ,-0.41 ,-0.46 ,-0.465 ,-3.965 ,-0.49 ,,-0.555 ,-0.42 ,,,-0.46 ,-0.57 ,-0.78 ,-0.615 ,,-0.48 ,30.3113444 ,-30.0018292 ,6.078 ,-12.078 ,85.576 ,86.64 ,thin ,G8III ,5.35 ,0.883 ,60.50 ,-10.10 ,-34.60 ,5022.2 ,2.75 ,,,,,,,
42214 ,73256 ,08362301-3002155 ,0.27 ,0.275 ,0.165 ,0.27 ,0.2885 ,0.27 ,0.339 ,,0.2 ,,0.3175 ,0.295 ,,,0.34 ,0.3 ,0.2 ,0.14 ,,0.205 ,129.0958990 ,-30.0376240 ,-6.922 ,-2.070 ,37.067 ,37.76 ,thin ,G8IV-VFe+0.5 ,8.06 ,0.782 ,-37.30 ,-20.90 ,-15.30 ,5460.0 ,4.42 ,,b ,2.54858 ,1.57 ,0.03 ,0.04 ,
9459 ,12524 ,02014240-4442484 ,-0.25 ,-0.19 ,-0.21 ,-0.03 ,0.16 ,0.09 ,-0.08 ,-4.14 ,,,0.13 ,0.23 ,,,-0.09 ,-0.19 ,-0.13 ,0.24 ,,0.76 ,30.4265707 ,-44.7135075 ,48.400 ,-73.642 ,-79.055 ,118.39 ,thin ,K5IV ,5.15 ,1.471 ,30.60 ,5.10 ,30.80 ,,,,,,,,,
75003 ,136014 ,15193172-3705497 ,-0.345 ,,,-0.085 ,-0.175 ,-0.275 ,-0.155 ,,,,-0.27 ,-0.14 ,,,-0.31 ,-0.38 ,,-0.12 ,,,229.8821691 ,-37.0971591 ,-78.977 ,-47.977 ,63.485 ,112.11 ,thick ,G8III/IV ,6.19 ,0.959 ,-16.50 ,-84.40 ,-38.40 ,4854.5 ,2.65 ,,,,,,,
107773 ,207229 ,21500013-6442451 ,-0.01 ,,,0.01 ,0.12 ,0.05 ,4.996e-16 ,,,,0.33 ,0.05 ,,,0.08 ,-0.01 ,,,,,327.5005230 ,-64.7125360 ,-22.579 ,-22.109 ,-98.691 ,103.63 ,thin ,K0III ,5.63 ,1.018 ,-4.40 ,-15.20 ,10.60 ,4916.0 ,2.65 ,,b ,144.3 ,1.98 ,0.09 ,0.72 ,
9471 ,12696 ,02015139-6523461 ,0.08 ,,0.07 ,0.24 ,0.09 ,0.14 ,0.16 ,,,,0.01 ,0.22 ,,,0.19 ,0.06 ,,0.06 ,,,30.4641530 ,-65.3961290 ,-47.996 ,67.369 ,-53.877 ,98.72 ,thin ,G5V ,9.05 ,0.669 ,-21.00 ,-6.70 ,7.70 ,5763.7 ,4.13 ,,,,,,,
9473 ,12414 ,02015246+0751516 ,-0.3 ,,,,-0.27 ,,-0.19 ,,,,-0.36 ,,,,,-0.41 ,,,,,30.4686234 ,7.8643688 ,-0.282 ,0.391 ,46.423 ,46.43 ,thin ,F5IV ,7.06 ,0.510 ,-23.50 ,-19.40 ,-11.40 ,6250.0 ,4.04 ,,,,,,,
75023 ,136179 ,15194820-2052169 ,-0.42 ,,0.29 ,-0.03 ,-0.26 ,-0.2 ,-0.19 ,,,,-0.44 ,-0.29 ,,,-0.15 ,-0.47 ,,-0.47 ,,,229.9507755 ,-20.8714004 ,53.359 ,37.653 ,-134.834 ,149.82 ,thick ,F3V ,8.42 ,0.534 ,-59.30 ,-85.60 ,-26.70 ,6295.0 ,3.70 ,,,,,,,
107805 ,207583 ,21502310-1611473 ,0.035 ,0.02 ,-0.32 ,0.02 ,0.016 ,0.091 ,0.092 ,,,,0.0025 ,-2.13371e-16 ,,,-0.001 ,2.498e-16 ,-0.23 ,-0.21 ,,,327.5962617 ,-16.1965274 ,-21.649 ,-25.693 ,17.859 ,38.05 ,thin ,G8-V ,8.30 ,0.735 ,31.90 ,-12.00 ,-13.40 ,5600.2 ,4.44 ,,,,,,,
75039 ,136580 ,15200232+4059028 ,-0.065 ,,,,-0.07 ,,-0.05 ,-0.58 ,,,-0.09 ,,,,,-0.12 ,,,,,230.0096260 ,40.9841700 ,31.722 ,25.306 ,-5.862 ,41.00 ,thin ,F7V ,6.89 ,0.510 ,-37.90 ,2.10 ,-21.90 ,6210.3 ,4.22 ,,,,,,,
50473 ,89307 ,10182131+1237160 ,-0.1 ,,0.07 ,-0.02 ,-0.12 ,-0.0605 ,-0.06 ,-1.1 ,,,-0.19 ,-0.15 ,,,-0.09 ,-0.16 ,,,,,154.5886976 ,12.6211089 ,-25.413 ,-19.345 ,1.750 ,31.99 ,thin ,G0V ,7.03 ,0.594 ,-41.20 ,-23.80 ,-6.80 ,5955.3 ,4.46 ,,b ,2166.0 ,2.11 ,0.2 ,3.27 ,
42281 ,73322 ,08371554-1729408 ,0.15 ,-0.05 ,,0.07 ,0.11 ,0.12 ,0.18 ,,,,0.1 ,0.11 ,,,0.13 ,0.19 ,-0.02 ,,,0.11 ,129.3147432 ,-17.4946525 ,-6.760 ,-3.776 ,35.306 ,36.15 ,thin ,K0.5V(k) ,8.74 ,0.910 ,-30.80 ,-16.60 ,-3.40 ,5191.0 ,4.41 ,,,,,,,
42282 ,73526 ,08371648-4119092 ,0.29 ,0.35 ,0.185 ,0.34 ,0.29 ,0.23 ,0.343 ,,,,0.265 ,0.3375 ,,,0.385 ,0.2935 ,0.435 ,0.36 ,,0.175 ,129.3186812 ,-41.3191076 ,75.019 ,42.297 ,44.661 ,97.01 ,thin ,G6V ,9.00 ,0.737 ,-81.40 ,-14.00 ,23.10 ,5601.9 ,4.12 ,,b c ,188.3 379.1 ,3.08 2.25 ,0.19 0.28 ,0.65 1.03 ,
42286 ,73887 ,,-0.04 ,,,0.04 ,0.09 ,0.01 ,-0.01 ,,,,0.32 ,0.01 ,,,0.04 ,-0.04 ,,,,,129.3284728 ,-62.8534645 ,-82.342 ,-47.494 ,-2.055 ,95.08 ,thin ,K0III ,5.46 ,1.013 ,8.80 ,-16.90 ,-13.20 ,4828.0 ,2.60 ,,,,,,,
9519 ,12484 ,02022673+0248570 ,0.18 ,0.005 ,0.05 ,0.03 ,0.05 ,0.19 ,0.11 ,-0.29 ,-0.14 ,,-0.14 ,-0.1 ,,,,0.03 ,,,,,30.6113754 ,2.8158544 ,-31.719 ,32.958 ,15.450 ,48.28 ,thin ,G1/2V ,8.17 ,0.649 ,-8.40 ,-6.80 ,-2.70 ,5849.5 ,4.43 ,,b ,58.83 ,2.98 ,0.07 ,0.297 ,
42291 ,73524 ,08372000-4008516 ,0.17 ,0.13 ,0.065 ,0.1675 ,0.15 ,0.234 ,0.175 ,-0.75 ,,,0.065 ,0.15 ,,,0.1715 ,0.17 ,-0.04 ,-0.08 ,,0.0525 ,129.3333047 ,-40.1476667 ,18.342 ,10.698 ,-17.634 ,27.60 ,thin ,G0Vp ,6.55 ,0.598 ,-26.50 ,7.00 ,-29.00 ,5974.7 ,4.40 ,,,,,,,
75069 ,136378 ,15202613+0014407 ,-0.295 ,,,-0.39 ,-0.325 ,-0.28 ,-0.245 ,,,,-0.335 ,-0.34 ,,,-0.41 ,-0.405 ,,,,,230.1088699 ,0.2446648 ,-29.851 ,-29.097 ,10.407 ,42.97 ,thin ,K1V ,9.31 ,0.800 ,34.60 ,-21.40 ,-44.90 ,5196.0 ,4.61 ,,,,,,,
99894 ,192699 ,20160600+0434509 ,-0.135 ,-0.21 ,-0.055 ,-0.135 ,-0.2 ,-0.12 ,-0.06 ,,-0.16 ,,-0.17 ,-0.17 ,,,-0.24 ,-0.185 ,,-0.16 ,,-0.13 ,304.0250200 ,4.5807930 ,6.532 ,-5.609 ,-65.049 ,65.62 ,thin ,G8IV ,6.45 ,0.867 ,23.80 ,-4.00 ,-1.20 ,5164.0 ,3.38 ,,b ,345.53 ,2.32 ,0.13 ,1.12 ,
9550 ,12585 ,02024344-2948509 ,0.17 ,-0.05 ,0.07 ,0.17 ,0.16 ,0.14 ,0.14 ,,,,0.12 ,0.13 ,,,0.13 ,0.21 ,0.14 ,,,-0.02 ,30.6809966 ,-29.8141753 ,-1.820 ,1.645 ,79.244 ,79.28 ,N/A ,G3V ,9.22 ,0.662 ,9999.00 ,9999.00 ,9999.00 ,5911.0 ,,,,,,,,
9553 ,12617 ,02024503-4057031 ,0.14 ,0.255 ,0.3 ,0.16 ,0.17 ,0.163 ,0.294 ,,,,0.325 ,0.26 ,,,0.311 ,0.21 ,0.175 ,,,0.72 ,30.6876908 ,-40.9508727 ,-24.229 ,21.606 ,3.591 ,32.66 ,N/A ,K3V ,9.00 ,1.020 ,9999.00 ,9999.00 ,9999.00 ,4828.0 ,4.38 ,,,,,,,
42333 ,73350 ,,0.172 ,0.1335 ,0.08 ,0.145 ,0.13 ,0.22 ,0.155 ,-0.93 ,,,0.085 ,0.19 ,,,0.179 ,0.105 ,-0.1 ,-0.052 ,,0.108 ,129.4595574 ,-6.8068827 ,-16.705 ,-12.812 ,-12.157 ,24.31 ,thin ,F9V ,6.72 ,0.655 ,-43.60 ,-19.50 ,-12.30 ,5812.2 ,4.46 ,,,,,,,
75104 ,136654 ,15205007+3128485 ,0.13 ,,,,0.11 ,,0.09 ,,,,0.05 ,,,,,0.05 ,,,,,230.2086576 ,31.4801082 ,-29.372 ,-34.985 ,2.936 ,45.77 ,thin ,F8V ,6.86 ,0.532 ,-50.80 ,-17.90 ,-2.20 ,6336.7 ,4.12 ,,,,,,,
107877 ,207692 ,21512456-2316137 ,-0.2 ,,-0.27 ,-0.02 ,-0.21 ,-0.14 ,-0.21 ,,,,-0.33 ,-0.23 ,,,-0.08 ,-0.31 ,,-0.33 ,,,327.8525290 ,-23.2706220 ,-4.952 ,-10.413 ,38.453 ,40.15 ,thin ,F6-V ,6.86 ,0.487 ,-70.20 ,-35.90 ,-11.00 ,6266.0 ,4.20 ,,,,,,,
42343 ,73400 ,08375756-0852536 ,-0.19 ,-0.05 ,-0.03 ,-0.11 ,-0.08 ,-0.11 ,-0.13 ,-0.73 ,,,-0.23 ,-0.26 ,,0.18 ,-0.25 ,-0.23 ,-0.41 ,-0.42 ,,-0.03 ,129.4898270 ,-8.8815890 ,29.901 ,24.405 ,-23.303 ,45.09 ,thin ,F6V ,7.03 ,0.516 ,-23.90 ,-10.70 ,-25.50 ,6220.2 ,4.18 ,,,,,,,
7058 ,,01305858-4852163 ,-0.08 ,-0.22 ,,-0.123 ,-0.149 ,0.044 ,0.338 ,,,,0.24 ,0.32 ,,,0.146 ,-0.037 ,-0.22 ,-0.27 ,,,22.7440939 ,-48.8712921 ,-5.043 ,-4.726 ,38.727 ,39.34 ,thin ,K5-V ,10.14 ,1.173 ,77.00 ,0.20 ,-25.70 ,4749.0 ,4.55 ,,,,,,,
75119 ,136514 ,15210200+0042552 ,0.05 ,-0.19 ,-0.16 ,0.37 ,0.33 ,0.11 ,0.11 ,-3.32 ,,,0.26 ,0.39 ,,,0.14 ,0.15 ,0.23 ,0.2 ,,1.01 ,230.2583164 ,0.7153352 ,-33.962 ,-44.791 ,48.838 ,74.46 ,thin ,K1III ,5.38 ,1.191 ,17.40 ,-36.30 ,-1.70 ,4430.0 ,2.42 ,,,,,,,
107890 ,207858 ,21513469+2644071 ,0.16 ,,,0.26 ,0.19 ,0.23 ,0.27 ,,,,0.23 ,0.24 ,,,0.46 ,0.15 ,-0.11 ,0.07 ,,0.13 ,327.8945508 ,26.7353494 ,-1.224 ,-2.879 ,98.310 ,98.36 ,thin ,F7V ,8.56 ,0.534 ,29.30 ,-34.50 ,-29.60 ,6404.5 ,,,,,,,,
42356 ,73226 ,08380852+2602568 ,0.18 ,0.19 ,0.095 ,0.16 ,0.14 ,0.18 ,0.15 ,,0.12 ,,0.12 ,0.135 ,,,,0.195 ,,0.1 ,,,129.5354466 ,26.0489777 ,-20.097 ,-17.990 ,35.147 ,44.30 ,thin ,G2V ,7.56 ,0.632 ,-30.10 ,-40.40 ,-15.50 ,5910.8 ,4.42 ,,,,,,,
75127 ,136479 ,,0.28 ,,0.03 ,0.43 ,0.51 ,0.32 ,0.28 ,-2.83 ,,,0.56 ,0.45 ,,,0.35 ,0.35 ,0.27 ,0.98 ,,1.01 ,230.2817055 ,-5.8248506 ,-49.823 ,-69.005 ,41.992 ,94.91 ,thin ,K1III ,5.54 ,1.047 ,-34.40 ,-16.50 ,-11.30 ,4710.0 ,2.75 ,,,,,,,
75132 ,136655 ,15210935+2534016 ,0.205 ,,,0.22 ,0.315 ,0.25 ,0.315 ,,,,0.69 ,0.295 ,,,0.395 ,0.275 ,0.3 ,,,,230.2889403 ,25.5671407 ,-22.827 ,-32.102 ,18.276 ,43.42 ,thin ,K0 ,8.99 ,0.950 ,15.10 ,-20.40 ,22.10 ,,,,,,,,,
42365 ,73192 ,08381899+3248072 ,0.11 ,-0.15 ,-0.02 ,0.21 ,0.27 ,0.21 ,0.16 ,-1.95 ,,,0.24 ,0.28 ,,,0.14 ,0.15 ,0.34 ,0.3 ,,0.7 ,129.5790879 ,32.8020178 ,-15.648 ,-15.289 ,117.097 ,119.12 ,thin ,K2III ,5.96 ,1.111 ,-12.00 ,-1.60 ,-9.60 ,,,,,,,,,
42372 ,73017 ,08382219+5324056 ,-0.35 ,-0.47 ,-0.23 ,-0.225 ,-0.335 ,-0.32 ,-0.29 ,,-0.33 ,,-0.3 ,-0.23 ,,,-0.34 ,-0.41 ,-0.47 ,-0.18 ,,,129.5924370 ,53.4015422 ,60.280 ,60.490 ,0.473 ,85.40 ,thin ,G9III ,5.67 ,0.964 ,17.80 ,-12.60 ,-52.50 ,4789.4 ,2.69 ,,,,,,,
107920 ,207966 ,21515291+4220376 ,-0.03 ,,,0.03 ,-0.03 ,0.04 ,0.1 ,,,,0.02 ,0.03 ,,,-1.80411e-16 ,-0.02 ,,,,,327.9705500 ,42.3438761 ,-0.643 ,-1.901 ,-29.632 ,29.70 ,thin ,G8 ,7.86 ,0.798 ,46.10 ,-27.20 ,-13.10 ,5545.0 ,,,,,,,,
75158 ,136544 ,15213273-0649357 ,0.21 ,,,,0.18 ,,0.19 ,,,,0.23 ,,,,,0.17 ,,,,,230.3864208 ,-6.8266031 ,-28.456 ,-49.625 ,-34.557 ,66.83 ,thin ,F6V ,7.43 ,0.475 ,-18.30 ,-46.90 ,31.40 ,6384.7 ,4.19 ,,,,,,,
9629 ,12724 ,02034597-4028088 ,-0.24 ,,0.07 ,-0.08 ,-0.19 ,-0.22 ,-0.09 ,,,,-0.33 ,-0.13 ,,,-0.15 ,-0.29 ,,-0.3 ,,,30.9416730 ,-40.4690920 ,-36.500 ,18.736 ,-15.989 ,44.03 ,thin ,G8V ,8.70 ,0.722 ,-65.60 ,-58.20 ,-20.00 ,5450.0 ,4.45 ,,,,,,,
107936 ,207699 ,21520315-4500270 ,-0.085 ,-0.13 ,,-0.043 ,-0.099 ,-0.034 ,0.2 ,,,,0.175 ,0.09 ,,,0.064 ,-0.072 ,,,,,328.0131358 ,-45.0075014 ,5.455 ,18.738 ,-32.148 ,37.61 ,N/A ,K3V ,9.50 ,1.003 ,9999.00 ,9999.00 ,9999.00 ,4874.0 ,4.36 ,,,,,,,
42401 ,73583 ,08384526-1315240 ,-0.19 ,-0.35 ,,-0.243 ,-0.241 ,-0.028 ,0.087 ,,,,-0.085 ,-0.11 ,,,-0.167 ,-0.225 ,-0.38 ,-0.52 ,,,129.6885851 ,-13.2566919 ,-15.434 ,-18.796 ,-20.086 ,31.54 ,thin ,K4+V(k) ,9.63 ,1.112 ,-22.30 ,-14.50 ,1.90 ,4695.0 ,4.50 ,,,,,,,
42402 ,73471 ,08384544+0320293 ,0.155 ,-0.13 ,-0.005 ,0.22 ,0.41 ,0.135 ,0.075 ,-2.875 ,0.35 ,,0.345 ,0.245 ,,,0.255 ,0.185 ,0.04 ,0.95 ,,1.12 ,129.6893230 ,3.3414360 ,71.020 ,86.618 ,-22.688 ,114.29 ,thin ,K2III ,4.43 ,1.216 ,-20.60 ,-22.50 ,-0.40 ,4525.0 ,2.38 ,,,,,,,
42403 ,73344 ,08384552+2341094 ,0.12 ,,,0.22 ,0.16 ,0.19 ,0.19 ,-0.68 ,,,0.165 ,0.03 ,,,,0.11 ,-0.19 ,0.03 ,,,129.6896680 ,23.6859056 ,-2.761 ,-3.369 ,-34.960 ,35.23 ,thin ,F6V ,6.90 ,0.547 ,-4.80 ,-24.30 ,-9.00 ,6099.6 ,4.20 ,,,,,,,
107941 ,207874 ,21520653+0154230 ,0.15 ,,0.24 ,,0.15 ,,0.16 ,,,,0.16 ,,,,,0.12 ,,,,,328.0272257 ,1.9064245 ,-2.684 ,-9.729 ,28.932 ,30.64 ,thin ,K1V ,8.19 ,0.880 ,11.20 ,-36.50 ,10.20 ,5148.0 ,4.50 ,,,,,,,
